,Unnamed: 0,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Year_of_Sales,Hit
28,43,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.5,3.45,5.33,0.86,86.0,57.0,8.7,242.0,Nintendo,E,11.0,1
29,44,Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,94.0,86.0,7.8,4100.0,"Bungie Software, Bungie",M,9.0,1
30,48,Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,89.0,74.0,8.5,272.0,Polyphony Digital,E,12.0,1
31,49,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.06,3.35,1.2,0.74,97.0,73.0,8.9,2147.0,Nintendo,E,9.0,1
32,51,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,98.0,86.0,7.9,2951.0,Rockstar North,M,8.0,1
33,52,Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,96.0,16.0,8.7,138.0,Polyphony Digital,E,19.0,1
34,53,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,3.0,2.14,0.78,90.0,82.0,8.4,921.0,Nintendo,E,5.0,1
35,54,Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,84.0,82.0,7.5,1112.0,Polyphony Digital,E,6.0,1
36,55,Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.64,0.38,1.6,94.0,67.0,6.3,2073.0,Infinity Ward,M,7.0,1
37,57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,98.0,64.0,7.5,2833.0,Rockstar North,M,8.0,1
38,60,Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.73,2.56,0.04,0.91,73.0,29.0,2.6,2117.0,Infinity Ward,M,3.0,1
39,61,Just Dance 3,Wii,2011.0,Misc,Ubisoft,5.95,3.11,0.0,1.06,74.0,15.0,7.8,16.0,Ubisoft,E10+,5.0,1
40,62,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.14,2.47,0.63,78.0,70.0,7.2,424.0,Nintendo,E,4.0,1
41,64,Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,91.0,99.0,7.9,2045.0,Bungie,M,6.0,1
42,65,Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,92.0,20.0,9.2,1282.0,SquareSoft,T,19.0,1
43,66,Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,87.0,87.0,7.0,3260.0,343 Industries,M,4.0,1
44,67,Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,93.0,23.0,9.0,135.0,Polyphony Digital,T,17.0,1
45,68,Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.8,2.85,0.01,0.78,74.0,24.0,7.3,24.0,Ubisoft,E10+,6.0,1
46,69,Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.1,3.63,0.38,1.25,71.0,10.0,2.6,1047.0,Infinity Ward,M,3.0,1
47,70,Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.93,2.36,0.13,0.9,94.0,70.0,8.4,1320.0,Infinity Ward,M,9.0,1
48,73,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.03,2.36,4.39,0.39,88.0,70.0,8.7,626.0,Nintendo,E,4.0,1
49,74,Mario Party DS,DS,2007.0,Misc,Nintendo,4.4,1.85,1.98,0.68,72.0,27.0,7.8,85.0,Hudson Soft,E,9.0,1
50,75,The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,5.0,1
51,77,FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.12,6.12,0.06,1.28,82.0,42.0,4.3,896.0,EA Sports,E,1.0,1
52,78,Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,95.0,91.0,8.2,1218.0,Bungie Software,M,12.0,1
53,79,Wii Party,Wii,2010.0,Misc,Nintendo,1.75,3.47,2.49,0.67,68.0,42.0,7.4,54.0,Nd Cube,E,6.0,1
54,80,Mario Party 8,Wii,2007.0,Misc,Nintendo,3.74,2.24,1.58,0.7,62.0,41.0,6.3,190.0,Hudson,E,9.0,1
55,81,FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.01,0.13,1.97,88.0,37.0,6.6,348.0,Electronic Arts,E,4.0,1
56,84,Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,92.0,53.0,8.7,1056.0,SquareSoft,T,15.0,1
57,85,The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.99,6.42,0.0,0.6,86.0,75.0,7.6,886.0,The Sims Studio,T,7.0,1
58,88,Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,90.0,24.0,8.6,644.0,SquareSoft,T,17.0,1
59,90,Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.76,1.72,2.69,0.54,83.0,46.0,8.5,203.0,Game Freak,E,8.0,1
60,91,Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.81,0.24,1.73,88.0,65.0,7.6,451.0,Rockstar Leeds,M,11.0,1
61,92,Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.81,3.48,0.14,1.23,83.0,39.0,5.7,1443.0,Sledgehammer Games,M,2.0,1
62,94,FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.66,5.75,0.08,1.11,85.0,41.0,5.0,398.0,"EA Sports, EA Vancouver",E,0.0,1
63,97,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.56,2.35,0.98,0.62,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,6.0,1
64,100,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.81,1.88,0.0,0.69,84.0,84.0,7.6,580.0,Treyarch,M,8.0,1
65,101,Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.11,0.06,0.69,84.0,57.0,7.4,2142.0,EA DICE,M,5.0,1
66,102,Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,1.02,85.0,33.0,8.6,171.0,EA Black Box,E,13.0,1
67,103,Just Dance,Wii,2009.0,Misc,Ubisoft,3.48,2.99,0.0,0.73,49.0,21.0,8.0,110.0,Ubisoft Paris,E10+,7.0,1
68,104,Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.89,0.35,1.08,85.0,38.0,7.5,1761.0,EA DICE,M,5.0,1
69,105,Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M,1.0,1
70,106,Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,96.0,15.0,9.1,367.0,Namco,T,18.0,1
71,107,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.74,2.14,0.6,0.68,95.0,73.0,9.0,1658.0,Nintendo,T,10.0,1
72,109,Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,91.0,12.0,8.9,432.0,Naughty Dog,E,18.0,1
73,110,Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.15,2.15,1.28,0.51,88.0,82.0,9.1,1599.0,Nintendo,E,2.0,1
74,111,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,0.22,92.0,38.0,9.1,568.0,HAL Labs,T,15.0,1
75,113,Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,1.09,82.0,39.0,8.6,132.0,EA Canada,E,12.0,1
76,114,Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,88.0,29.0,8.5,135.0,EA LA,T,14.0,1
77,116,Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.05,2.16,0.0,0.55,74.0,10.0,7.3,28.0,Ubisoft,E10+,4.0,1
78,117,Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.9,0.06,0.64,93.0,90.0,7.7,2739.0,Epic Games,M,8.0,1
79,118,Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.75,0.19,1.03,92.0,97.0,8.3,3712.0,Naughty Dog,T,5.0,1
80,120,Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.11,2.26,0.28,1.03,94.0,44.0,8.4,993.0,Infinity Ward,M,9.0,1
81,121,Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,96.0,105.0,8.8,5187.0,Naughty Dog,T,7.0,1
82,123,Big Brain Academy,DS,2005.0,Misc,Nintendo,1.66,2.75,1.6,0.62,74.0,45.0,7.4,27.0,Nintendo,E,11.0,1
83,125,Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.53,0.17,0.99,95.0,73.0,8.8,2456.0,Rockstar San Diego,M,6.0,1
84,126,FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.24,0.07,1.37,86.0,37.0,4.3,576.0,EA Canada,E,3.0,1
85,127,Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.52,0.16,1.12,85.0,41.0,6.9,1307.0,Ubisoft,M,4.0,1
86,128,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.17,1.79,1.03,0.46,87.0,77.0,8.6,368.0,Retro Studios,E,6.0,1
87,129,Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,97.0,68.0,8.6,1283.0,Bungie Software,M,15.0,1
88,130,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.6,0.25,1.0,92.0,16.0,6.4,2527.0,Bethesda Game Studios,M,5.0,1
89,131,Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,76.0,28.0,9.0,222.0,Game Freak,E,12.0,1
90,132,Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,85.0,46.0,8.8,597.0,SquareSoft,E,14.0,1
91,134,Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.34,0.06,0.61,83.0,94.0,7.1,1163.0,"Bungie Software, Bungie",M,7.0,1
92,135,Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.95,0.09,0.58,95.0,96.0,9.0,2316.0,Rockstar San Diego,M,6.0,1
93,136,Super Mario Sunshine,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,0.17,92.0,61.0,8.6,439.0,Nintendo,E,14.0,1
94,138,World of Warcraft,PC,2004.0,Role-Playing,Activision,0.08,6.21,0.0,0.0,93.0,57.0,7.3,2182.0,Blizzard Entertainment,T,12.0,1
95,139,Driver,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,87.0,22.0,8.1,78.0,Reflections Interactive,T,17.0,1
96,140,Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.59,0.07,0.5,91.0,96.0,7.8,1504.0,Epic Games,M,5.0,1
97,141,Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.73,0.03,0.51,73.0,51.0,7.4,95.0,Rare Ltd.,E10+,6.0,1
98,142,Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.88,0.07,0.6,94.0,88.0,8.3,2295.0,Epic Games,M,10.0,1
99,143,FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.8,4.33,0.05,0.9,82.0,47.0,5.7,988.0,EA Sports,E,2.0,1
100,144,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,96.0,42.0,8.7,1026.0,KCEJ,M,15.0,1
101,146,Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,94.0,20.0,9.4,918.0,KCEJ,M,18.0,1
102,147,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,94.0,82.0,8.7,3558.0,Kojima Productions,M,8.0,1
103,148,Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,92.0,64.0,7.6,972.0,Square Enix,T,10.0,1
104,149,The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,95.0,98.0,9.1,8003.0,Naughty Dog,M,3.0,1
105,150,LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,1.98,0.17,0.87,95.0,85.0,6.8,5311.0,"SCE/WWS, Media Molecule",E,8.0,1
106,151,Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,0.45,89.0,13.0,9.2,364.0,Capcom,M,18.0,1
107,152,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,87.0,65.0,8.8,197.0,Level 5,E10+,7.0,1
108,153,Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,89.0,8.0,8.9,102.0,Namco,T,20.0,1
109,154,Destiny,PS4,2014.0,Shooter,Activision,2.49,2.07,0.16,0.92,76.0,95.0,6.1,5380.0,"Bungie Software, Bungie",T,2.0,1
110,155,LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.57,1.55,0.0,0.51,80.0,17.0,8.9,62.0,Traveller's Tales,E10+,9.0,1
111,156,Cooking Mama,DS,2006.0,Simulation,505 Games,3.07,1.91,0.07,0.57,67.0,35.0,7.2,21.0,Taito Corporation,E,10.0,1
112,159,Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.93,0.21,0.86,91.0,70.0,8.6,1202.0,Ubisoft Montreal,M,7.0,1
113,160,Assassin's Creed,X360,2007.0,Adventure,Ubisoft,3.28,1.64,0.07,0.56,81.0,77.0,7.7,1074.0,Ubisoft Montreal,M,9.0,1
114,161,Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.9,0.1,0.5,92.0,90.0,8.0,516.0,Turn 10,E,7.0,1
115,162,Super Mario Advance,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,0.2,84.0,19.0,7.8,41.0,Nintendo,E,15.0,1
116,163,Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,0.47,0.55,4.13,0.34,81.0,48.0,8.7,124.0,Capcom,T,8.0,1
117,164,Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,96.0,42.0,8.6,2162.0,Rocksteady Studios,T,5.0,1
118,165,Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,97.0,14.0,7.9,764.0,Rockstar North,M,2.0,1
119,166,Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,2.62,1.64,0.99,0.23,93.0,24.0,8.3,108.0,Intelligent Systems,E,15.0,1
120,169,Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,0.82,66.0,22.0,7.1,156.0,Traveller's Tales,E,15.0,1
121,170,Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.73,1.83,0.0,0.83,85.0,45.0,7.6,409.0,Treyarch,M,8.0,1
122,171,Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,93.0,113.0,7.9,7064.0,Naughty Dog,T,0.0,1
123,173,Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,83.0,83.0,7.3,2483.0,Square Enix,T,7.0,1
124,175,Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,94.0,22.0,8.9,779.0,SquareSoft,T,16.0,1
125,176,Assassin's Creed III,X360,2012.0,Action,Ubisoft,3.13,1.69,0.03,0.44,84.0,61.0,6.7,1196.0,Ubisoft,M,4.0,1
126,177,Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,85.0,45.0,6.6,400.0,SquareSoft,T,13.0,1
127,179,Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,3.22,1.55,0.01,0.48,81.0,53.0,5.4,898.0,Sledgehammer Games,M,2.0,1
128,181,Assassin's Creed II,X360,2009.0,Action,Ubisoft,3.11,1.55,0.08,0.51,90.0,82.0,8.8,1305.0,Ubisoft Montreal,M,7.0,1
129,185,New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,2.3,1.34,1.27,0.32,84.0,70.0,8.1,733.0,Nintendo,E,4.0,1
130,186,Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,89.0,63.0,8.8,245.0,Level 5,T,12.0,1
131,188,Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,1.21,2.43,1.03,0.52,85.0,72.0,8.6,147.0,Level 5,E,9.0,1
132,190,FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,1.09,3.47,0.03,0.57,90.0,48.0,6.1,403.0,Electronic Arts,E,4.0,1
133,192,Diablo III,PC,2012.0,Role-Playing,Activision,2.44,2.16,0.0,0.54,88.0,86.0,4.0,9629.0,Blizzard Entertainment,M,4.0,1
134,193,Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,68.0,30.0,7.6,100.0,EA LA,T,13.0,1
135,196,Guitar Hero II,PS2,2006.0,Misc,RedOctane,3.81,0.63,0.0,0.68,92.0,69.0,8.5,112.0,Harmonix Music Systems,T,10.0,1
136,197,Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.08,0.05,0.38,80.0,88.0,6.5,604.0,Lionhead Studios,M,6.0,1
137,199,Resident Evil 5,PS3,2009.0,Action,Capcom,1.96,1.41,1.08,0.64,84.0,76.0,7.5,667.0,Capcom,M,7.0,1
138,200,The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,1.85,1.8,0.95,0.48,90.0,57.0,8.0,416.0,Nintendo,E,9.0,1
139,202,FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.61,3.28,0.06,1.12,89.0,51.0,8.0,233.0,EA Sports,E,6.0,1
140,203,Resident Evil,PS,1996.0,Action,Virgin Interactive,2.05,1.16,1.11,0.73,91.0,8.0,9.0,266.0,Capcom,M,20.0,1
141,204,Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,1.7,1.99,0.16,1.18,86.0,50.0,8.0,150.0,Rockstar Leeds,M,10.0,1
142,205,Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,3.42,1.38,0.02,0.2,92.0,18.0,9.2,69.0,Neversoft Entertainment,T,17.0,1
143,208,Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,3.49,0.01,0.01,1.48,82.0,24.0,8.2,46.0,"Neversoft Entertainment, BudCat",T,9.0,1
144,209,Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,3.05,1.17,0.29,0.46,68.0,34.0,7.1,47.0,Nintendo,T,9.0,1
145,211,Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,93.0,84.0,8.5,1655.0,Bethesda Game Studios,M,8.0,1
146,212,Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,88.0,66.0,8.1,2306.0,"Naughty Dog, SCE/WWS",T,9.0,1
147,213,Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,0.66,88.0,29.0,8.0,121.0,EA Sports,E,11.0,1
148,218,StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,2.57,1.68,0.0,0.58,93.0,82.0,8.2,3052.0,Blizzard Entertainment,T,6.0,1
149,219,Assassin's Creed,PS3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,0.82,81.0,40.0,7.3,769.0,Ubisoft Montreal,M,9.0,1
150,220,God of War III,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,92.0,101.0,8.7,2633.0,SCE Santa Monica,M,6.0,1
151,221,Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,88.0,20.0,9.0,233.0,Naughty Dog,E,17.0,1
152,222,LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,2.83,1.48,0.0,0.45,80.0,9.0,5.4,46.0,TT Fusion,E,9.0,1
153,223,Driver 2,PS,2000.0,Action,Atari,2.36,2.1,0.02,0.25,62.0,14.0,7.7,92.0,Reflections Interactive,T,16.0,1
154,224,Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,94.0,87.0,8.7,1472.0,Rocksteady Studios,T,5.0,1
155,227,Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,98.0,19.0,7.7,299.0,Neversoft Entertainment,T,16.0,1
156,228,The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,0.7,82.0,32.0,8.2,78.0,Stormfront Studios,T,14.0,1
157,229,Tomb Raider,PS,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,0.24,91.0,13.0,8.6,147.0,Core Design Ltd.,T,20.0,1
158,230,Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,1.82,1.12,1.32,0.36,73.0,50.0,7.6,119.0,Nintendo,E,8.0,1
159,231,Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,86.0,78.0,8.1,1264.0,Bluepoint Games,T,1.0,1
160,233,The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,2.6,0.99,0.89,0.13,96.0,80.0,8.9,968.0,Nintendo,E,14.0,1
161,234,Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,3.04,1.11,0.0,0.43,86.0,36.0,8.4,87.0,Vicarious Visions,T,9.0,1
